[INFO] [1734182810.391557833] [ros_gz_sim]: Requesting list of world names.
[INFO] [1734182810.896257270] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182811.896446771] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182812.896662384] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182813.896811588] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182814.896963567] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182815.897180047] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182816.897381411] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182817.897645241] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182818.897873320] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182819.898033643] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182820.898197463] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182821.898421477] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182822.898678508] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182823.898829942] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182824.898998526] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182825.899197551] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182826.899385024] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182827.899548510] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182828.899727212] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182829.899927988] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182830.900118609] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182831.900302457] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182832.900489213] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182833.900667245] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182834.900854201] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182835.901063077] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182836.901259487] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182837.901448209] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182838.901614752] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182839.901826671] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182840.902038313] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182841.902243994] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182842.902449189] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182843.902633313] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182844.902829707] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182845.903020486] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182846.903230106] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182847.903412483] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182848.903584337] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182849.903742141] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182850.903941319] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182851.904125983] [ros_gz_sim]: Waiting messages on topic [robot_description].
[INFO] [1734182852.904362426] [ros_gz_sim]: Waiting messages on topic [robot_description].
